Dte.;Nom Dte.;Barri;AEB;Any;Població;Naixements Total;Naixements Nens;Naixements Nenes;Defuncions Total;Defuncions Homes;Defuncions Dones;% Població sense estudis;% Població amb estudis obligatoris;% Població amb batxillerat superior o CFGM;% Població amb estudis universitaris o CFGS
9;Sant Andreu;59. el Bon Pastor;-1;2014;12670,0;139,0;74,0;65,0;125,0;72,0;53,0;11,3;57,2;20,0;11,5
9;Sant Andreu;60. Sant Andreu;-1;2014;56269,0;496,0;265,0;231,0;440,0;218,0;222,0;6,8;43,7;27,7;21,7
9;Sant Andreu;61. la Sagrera;-1;2014;28660,0;259,0;141,0;118,0;250,0;126,0;124,0;6,9;45,5;27,3;20,4
9;Sant Andreu;62. el Congrés i els Indians;-1;2014;13921,0;119,0;65,0;54,0;170,0;76,0;94,0;7,3;43,4;27,3;22,0
9;Sant Andreu;63. Navas;-1;2014;21741,0;172,0;83,0;89,0;186,0;99,0;87,0;6,2;43,4;27,9;22,4
10;Sant Martí;64. el Camp de l'Arpa del Clot;-1;2014;37795,0;324,0;142,0;182,0;354,0;157,0;197,0;5,6;40,8;27,3;26,3
10;Sant Martí;65. el Clot;-1;2014;27035,0;190,0;86,0;104,0;205,0;107,0;98,0;6,2;43,2;27,2;23,4
10;Sant Martí;66. el Parc i la Llacuna del Poblenou;-1;2014;14613,0;135,0;73,0;62,0;154,0;82,0;72,0;5,5;37,1;25,9;31,4
10;Sant Martí;67. la Vila Olímpica del Poblenou;-1;2014;9364,0;90,0;53,0;37,0;32,0;13,0;19,0;3,4;20,0;23,9;52,7
10;Sant Martí;68. el Poblenou;-1;2014;33011,0;352,0;195,0;157,0;281,0;126,0;155,0;6,7;38,8;25,1;29,3
10;Sant Martí;69. Diagonal Mar i el Front Marítim del Poblenou;-1;2014;13156,0;174,0;87,0;87,0;67,0;29,0;38,0;5,7;30,6;24,0;39,7
10;Sant Martí;70. el Besòs i el Maresme;-1;2014;22829,0;223,0;136,0;87,0;208,0;107,0;101,0;13,4;60,1;17,4;9,1
10;Sant Martí;71. Provençals del Poblenou;-1;2014;20096,0;210,0;101,0;109,0;136,0;68,0;68,0;8,1;45,3;25,7;20,9
10;Sant Martí;72. Sant Martí de Provençals;-1;2014;25917,0;201,0;103,0;98,0;262,0;129,0;133,0;9,4;49,3;25,0;16,2
10;Sant Martí;73. la Verneda i la Pau;-1;2014;28813,0;201,0;97,0;104,0;285,0;153,0;132,0;12,6;53,8;22,5;11,1
1;Ciutat Vella;1. el Raval;-1;2013;48800,0;423,0;210,0;213,0;322,0;158,0;164,0;7,9;54,2;17,4;20,4
1;Ciutat Vella;2. el Barri Gòtic;-1;2013;16267,0;94,0;49,0;45,0;147,0;75,0;72,0;6,0;36,2;23,4;34,4
1;Ciutat Vella;3. la Barceloneta;-1;2013;15503,0;105,0;51,0;54,0;196,0;88,0;108,0;10,9;47,5;19,6;21,9
1;Ciutat Vella;4. Sant Pere, Santa Caterina i la Ribera;-1;2013;22769,0;169,0;93,0;76,0;182,0;74,0;108,0;7,2;35,9;21,8;35,1
2;Eixample;5. el Fort Pienc;-1;2013;31738,0;255,0;125,0;130,0;324,0;143,0;181,0;4,9;33,0;27,9;34,1
2;Eixample;6. la Sagrada Família;-1;2013;51806,0;343,0;164,0;179,0;567,0;261,0;306,0;5,5;35,8;26,9;31,8
2;Eixample;7. la Dreta de l'Eixample;-1;2013;43384,0;369,0;192,0;177,0;541,0;193,0;348,0;3,7;22,6;26,9;46,8
2;Eixample;8. l'Antiga Esquerra de l'Eixample;-1;2013;41773,0;329,0;170,0;159,0;429,0;202,0;227,0;4,0;25,7;27,3;42,9
2;Eixample;9. la Nova Esquerra de l'Eixample;-1;2013;57819,0;378,0;192,0;186,0;488,0;232,0;256,0;4,6;30,6;28,0;36,8
2;Eixample;10. Sant Antoni;-1;2013;38260,0;291,0;155,0;136,0;390,0;194,0;196,0;5,8;36,9;26,1;31,2
3;Sants-Montjuïc;11. el Poble Sec - AEI Parc Montjuïc;-1;2013;40984,0;345,0;198,0;147,0;348,0;180,0;168,0;8,0;48,7;21,5;21,7
3;Sants-Montjuïc;12. la Marina del Prat Vermell - AEI Zona Franca;-1;2013;1172,0;10,0;7,0;3,0;18,0;12,0;6,0;20,8;64,2;11,2;3,9
3;Sants-Montjuïc;13. la Marina de Port;-1;2013;30271,0;249,0;124,0;125,0;259,0;142,0;117,0;11,1;53,6;23,0;12,3
3;Sants-Montjuïc;14. la Font de la Guatlla;-1;2013;10313,0;82,0;38,0;44,0;123,0;59,0;64,0;7,1;41,8;25,7;25,4
3;Sants-Montjuïc;15. Hostafrancs;-1;2013;15960,0;155,0;80,0;75,0;130,0;66,0;64,0;7,2;43,9;24,6;24,2
3;Sants-Montjuïc;16. la Bordeta;-1;2013;18577,0;113,0;60,0;53,0;165,0;83,0;82,0;7,8;46,4;26,5;19,2
3;Sants-Montjuïc;17. Sants - Badal;-1;2013;24351,0;186,0;86,0;100,0;202,0;101,0;101,0;8,2;45,9;24,6;21,3
3;Sants-Montjuïc;18. Sants;-1;2013;41057,0;334,0;181,0;153,0;402,0;163,0;239,0;6,8;40,5;25,6;27,1
4;Les Corts;19. les Corts;-1;2013;46183,0;351,0;165,0;186,0;419,0;214,0;205,0;4,7;28,7;28,8;37,7
4;Les Corts;20. la Maternitat i Sant Ramon;-1;2013;23667,0;173,0;94,0;79,0;194,0;94,0;100,0;6,0;32,4;27,8;33,8
4;Les Corts;21. Pedralbes;-1;2013;11790,0;65,0;34,0;31,0;96,0;48,0;48,0;3,4;19,0;29,4;48,2
5;Sarrià-Sant Gervasi;22. Vallvidrera, el Tibidabo i les Planes;-1;2013;4437,0;47,0;29,0;18,0;40,0;23,0;17,0;5,8;26,1;28,1;39,9
5;Sarrià-Sant Gervasi;23. Sarrià;-1;2013;24450,0;256,0;139,0;117,0;237,0;84,0;153,0;4,2;20,2;27,1;48,4
5;Sarrià-Sant Gervasi;24. les Tres Torres;-1;2013;15984,0;145,0;75,0;70,0;116,0;60,0;56,0;3,1;16,1;30,3;50,5
5;Sarrià-Sant Gervasi;25. Sant Gervasi - la Bonanova;-1;2013;24607,0;192,0;100,0;92,0;236,0;103,0;133,0;3,5;20,0;29,9;46,5
5;Sarrià-Sant Gervasi;26. Sant Gervasi - Galvany;-1;2013;46486,0;383,0;186,0;197,0;435,0;180,0;255,0;3,1;18,4;30,1;48,4
5;Sarrià-Sant Gervasi;27. el Putxet i el Farró;-1;2013;29302,0;283,0;150,0;133,0;250,0;108,0;142,0;3,4;20,8;29,4;46,4
6;Gràcia;28. Vallcarca i els Penitents;-1;2013;15453,0;127,0;64,0;63,0;158,0;71,0;87,0;5,3;30,0;27,8;36,9
6;Gràcia;29. el Coll;-1;2013;7232,0;57,0;29,0;28,0;51,0;24,0;27,0;7,5;37,7;27,3;27,5
6;Gràcia;30. la Salut;-1;2013;13210,0;96,0;59,0;37,0;137,0;71,0;66,0;5,7;29,1;28,5;36,6
6;Gràcia;31. la Vila de Gràcia;-1;2013;50615,0;463,0;244,0;219,0;495,0;208,0;287,0;5,0;30,2;24,8;40,1
6;Gràcia;32. el Camp d'en Grassot i Gràcia Nova;-1;2013;34439,0;259,0;146,0;113,0;340,0;164,0;176,0;5,0;31,2;27,8;36,0
7;Horta-Guinardó;33. el Baix Guinardó;-1;2013;25641,0;197,0;101,0;96,0;341,0;151,0;190,0;6,9;37,9;27,7;27,4
7;Horta-Guinardó;34. Can Baró;-1;2013;8969,0;70,0;28,0;42,0;77,0;32,0;45,0;9,9;42,7;25,2;22,1
7;Horta-Guinardó;35. el Guinardó;-1;2013;35679,0;312,0;142,0;170,0;327,0;158,0;169,0;6,8;39,6;28,5;25,1
7;Horta-Guinardó;36. la Font d'en Fargues;-1;2013;9490,0;62,0;30,0;32,0;87,0;40,0;47,0;6,7;37,2;28,5;27,4
7;Horta-Guinardó;37. el Carmel;-1;2013;31789,0;269,0;143,0;126,0;251,0;141,0;110,0;15,4;54,1;20,6;9,8
7;Horta-Guinardó;38. la Teixonera;-1;2013;11654,0;101,0;49,0;52,0;96,0;55,0;41,0;12,9;50,6;23,1;13,3
7;Horta-Guinardó;39. Sant Genís dels Agudells;-1;2013;6935,0;55,0;28,0;27,0;90,0;46,0;44,0;12,7;47,3;23,2;16,7
7;Horta-Guinardó;40. Montbau;-1;2013;5111,0;23,0;6,0;17,0;118,0;51,0;67,0;11,7;43,1;24,1;21,1
7;Horta-Guinardó;41. la Vall d'Hebron;-1;2013;5494,0;40,0;25,0;15,0;49,0;23,0;26,0;7,6;39,3;26,3;26,8
7;Horta-Guinardó;42. la Clota;-1;2013;438,0;9,0;8,0;1,0;7,0;3,0;4,0;12,4;48,5;18,7;20,4
7;Horta-Guinardó;43. Horta;-1;2013;26543,0;207,0;105,0;102,0;296,0;128,0;168,0;10,7;44,0;25,9;19,4
8;Nou Barris;44. Vilapicina i la Torre Llobeta;-1;2013;25543,0;197,0;101,0;96,0;281,0;136,0;145,0;9,1;45,9;26,3;18,7
8;Nou Barris;45. Porta;-1;2013;24193,0;233,0;112,0;121,0;223,0;121,0;102,0;12,0;50,3;23,9;13,7
8;Nou Barris;46. el Turó de la Peira;-1;2013;15593,0;143,0;77,0;66,0;158,0;86,0;72,0;12,6;53,6;22,3;11,4
8;Nou Barris;47. Can Peguera;-1;2013;2230,0;14,0;6,0;8,0;29,0;13,0;16,0;17,0;58,6;18,1;6,4
8;Nou Barris;48. la Guineueta;-1;2013;15117,0;103,0;50,0;53,0;173,0;87,0;86,0;11,6;49,3;24,6;14,5
8;Nou Barris;49. Canyelles;-1;2013;7102,0;43,0;27,0;16,0;60,0;31,0;29,0;14,1;57,2;19,1;9,5
8;Nou Barris;50. les Roquetes;-1;2013;15768,0;155,0;80,0;75,0;114,0;60,0;54,0;17,2;59,1;16,9;6,8
8;Nou Barris;51. Verdun;-1;2013;12329,0;103,0;46,0;57,0;115,0;70,0;45,0;15,1;56,9;19,1;8,8
8;Nou Barris;52. la Prosperitat;-1;2013;26299,0;202,0;101,0;101,0;221,0;124,0;97,0;16,0;53,7;21,0;9,2
8;Nou Barris;53. la Trinitat Nova;-1;2013;7551,0;55,0;30,0;25,0;108,0;44,0;64,0;16,6;61,8;15,9;5,7
8;Nou Barris;54. Torre Baró;-1;2013;2192,0;33,0;14,0;19,0;19,0;12,0;7,0;20,3;62,1;11,6;5,9
8;Nou Barris;55. Ciutat Meridiana;-1;2013;10485,0;99,0;62,0;37,0;60,0;28,0;32,0;13,6;66,0;15,4;4,9
8;Nou Barris;56. Vallbona;-1;2013;1346,0;17,0;7,0;10,0;29,0;10,0;19,0;15,0;62,1;14,2;8,6
9;Sant Andreu;57. la Trinitat Vella;-1;2013;10423,0;133,0;65,0;68,0;47,0;27,0;20,0;13,7;60,7;17,6;8,0
9;Sant Andreu;58. Baró de Viver;-1;2013;2415,0;18,0;5,0;13,0;26,0;15,0;11,0;16,2;64,1;14,0;5,6
9;Sant Andreu;59. el Bon Pastor;-1;2013;12800,0;124,0;61,0;63,0;113,0;64,0;49,0;11,9;57,1;19,9;11,2
9;Sant Andreu;60. Sant Andreu;-1;2013;56476,0;490,0;257,0;233,0;458,0;228,0;230,0;7,5;43,4;28,0;21,1
9;Sant Andreu;61. la Sagrera;-1;2013;28911,0;257,0;132,0;125,0;236,0;121,0;115,0;7,3;45,9;27,3;19,5
9;Sant Andreu;62. el Congrés i els Indians;-1;2013;14010,0;125,0;69,0;56,0;161,0;77,0;84,0;7,9;43,8;27,1;21,2
9;Sant Andreu;63. Navas;-1;2013;21811,0;166,0;85,0;81,0;163,0;72,0;91,0;6,8;43,3;27,8;22,0
10;Sant Martí;64. el Camp de l'Arpa del Clot;-1;2013;37933,0;321,0;166,0;155,0;347,0;144,0;203,0;6,4;40,8;27,4;25,4
10;Sant Martí;65. el Clot;-1;2013;27169,0;193,0;97,0;96,0;193,0;101,0;92,0;6,8;43,4;27,1;22,7
10;Sant Martí;66. el Parc i la Llacuna del Poblenou;-1;2013;14355,0;131,0;67,0;64,0;121,0;56,0;65,0;6,4;37,3;26,1;30,2
10;Sant Martí;67. la Vila Olímpica del Poblenou;-1;2013;9319,0;96,0;42,0;54,0;30,0;14,0;16,0;4,4;19,4;24,4;51,8
10;Sant Martí;68. el Poblenou;-1;2013;32838,0;330,0;170,0;160,0;226,0;131,0;95,0;7,4;39,4;25,2;28,0
10;Sant Martí;69. Diagonal Mar i el Front Marítim del Poblenou;-1;2013;12894,0;202,0;105,0;97,0;62,0;27,0;35,0;6,2;30,7;23,9;39,2
10;Sant Martí;70. el Besòs i el Maresme;-1;2013;23118,0;195,0;102,0;93,0;206,0;109,0;97,0;14,6;59,6;17,3;8,5
10;Sant Martí;71. Provençals del Poblenou;-1;2013;20052,0;214,0;119,0;95,0;145,0;79,0;66,0;9,0;45,9;25,4;19,7
10;Sant Martí;72. Sant Martí de Provençals;-1;2013;25994,0;211,0;114,0;97,0;252,0;127,0;125,0;10,1;49,3;24,8;15,6
10;Sant Martí;73. la Verneda i la Pau;-1;2013;29154,0;202,0;108,0;94,0;300,0;174,0;126,0;13,4;53,4;22,3;10,8
1;Ciutat Vella;1. el Raval;-1;2012;49027,0;482,0;248,0;234,0;355,0;188,0;167,0;8,5;54,6;17,1;19,7
1;Ciutat Vella;2. el Barri Gòtic;-1;2012;16908,0;87,0;50,0;37,0;132,0;75,0;57,0;6,6;38,6;22,7;32,2
1;Ciutat Vella;3. la Barceloneta;-1;2012;15729,0;101,0;55,0;46,0;194,0;90,0;104,0;11,9;48,1;18,8;21,1
1;Ciutat Vella;4. Sant Pere, Santa Caterina i la Ribera;-1;2012;22778,0;176,0;79,0;97,0;196,0;94,0;102,0;7,7;36,9;21,6;33,7
2;Eixample;5. el Fort Pienc;-1;2012;32296,0;251,0;136,0;115,0;330,0;152,0;178,0;5,4;34,7;27,4;32,5
2;Eixample;6. la Sagrada Família;-1;2012;52109,0;416,0;241,0;175,0;531,0;235,0;296,0;5,9;36,9;26,5;30,6
2;Eixample;7. la Dreta de l'Eixample;-1;2012;43355,0;337,0;165,0;172,0;553,0;217,0;336,0;4,0;23,9;27,2;44,9
2;Eixample;8. l'Antiga Esquerra de l'Eixample;-1;2012;41785,0;321,0;160,0;161,0;481,0;204,0;277,0;4,3;27,1;27,3;41,3
2;Eixample;9. la Nova Esquerra de l'Eixample;-1;2012;57911,0;489,0;237,0;252,0;543,0;251,0;292,0;4,9;32,0;27,9;35,1
2;Eixample;10. Sant Antoni;-1;2012;38372,0;280,0;162,0;118,0;415,0;199,0;216,0;6,2;38,1;26,0;29,6
3;Sants-Montjuïc;11. el Poble Sec - AEI Parc Montjuïc;-1;2012;41258,0;339,0;175,0;164,0;364,0;182,0;182,0;8,8;50,0;21,0;20,2
3;Sants-Montjuïc;12. la Marina del Prat Vermell - AEI Zona Franca;-1;2012;1153,0;11,0;6,0;5,0;16,0;7,0;9,0;23,1;64,2;9,7;2,9
3;Sants-Montjuïc;13. la Marina de Port;-1;2012;30458,0;261,0;119,0;142,0;252,0;147,0;105,0;11,6;54,3;22,4;11,6
3;Sants-Montjuïc;14. la Font de la Guatlla;-1;2012;10285,0;61,0;32,0;29,0;126,0;47,0;79,0;7,5;43,0;25,4;24,0
3;Sants-Montjuïc;15. Hostafrancs;-1;2012;16044,0;130,0;69,0;61,0;153,0;81,0;72,0;7,7;45,7;23,4;23,1
3;Sants-Montjuïc;16. la Bordeta;-1;2012;18614,0;151,0;87,0;64,0;189,0;92,0;97,0;8,3;47,6;25,8;18,3
3;Sants-Montjuïc;17. Sants - Badal;-1;2012;24611,0;193,0;101,0;92,0;211,0;104,0;107,0;8,8;47,3;23,8;20,0
3;Sants-Montjuïc;18. Sants;-1;2012;41649,0;352,0;179,0;173,0;390,0;185,0;205,0;7,3;42,0;25,0;25,6
4;Les Corts;19. les Corts;-1;2012;46875,0;361,0;183,0;178,0;448,0;213,0;235,0;5,2;30,1;28,5;36,2
4;Les Corts;20. la Maternitat i Sant Ramon;-1;2012;23780,0;178,0;88,0;90,0;191,0;94,0;97,0;6,5;33,2;27,6;32,6
4;Les Corts;21. Pedralbes;-1;2012;11765,0;74,0;39,0;35,0;105,0;52,0;53,0;3,8;20,1;29,5;46,6
5;Sarrià-Sant Gervasi;22. Vallvidrera, el Tibidabo i les Planes;-1;2012;4410,0;37,0;18,0;19,0;58,0;23,0;35,0;5,9;28,6;27,2;38,3
5;Sarrià-Sant Gervasi;23. Sarrià;-1;2012;24306,0;272,0;136,0;136,0;259,0;116,0;143,0;4,3;21,7;27,1;46,8
5;Sarrià-Sant Gervasi;24. les Tres Torres;-1;2012;15936,0;163,0;89,0;74,0;117,0;53,0;64,0;3,3;17,5;30,2;48,9
5;Sarrià-Sant Gervasi;25. Sant Gervasi - la Bonanova;-1;2012;24553,0;257,0;135,0;122,0;263,0;123,0;140,0;3,5;20,2;30,1;46,1
5;Sarrià-Sant Gervasi;26. Sant Gervasi - Galvany;-1;2012;46411,0;410,0;195,0;215,0;498,0;215,0;283,0;3,3;19,8;30,0;47,0
5;Sarrià-Sant Gervasi;27. el Putxet i el Farró;-1;2012;29775,0;250,0;116,0;134,0;258,0;107,0;151,0;3,5;23,7;28,7;44,1
6;Gràcia;28. Vallcarca i els Penitents;-1;2012;15499,0;156,0;72,0;84,0;140,0;62,0;78,0;5,4;31,3;28,1;35,2
6;Gràcia;29. el Coll;-1;2012;7308,0;59,0;35,0;24,0;56,0;31,0;25,0;7,9;38,1;27,9;26,1
6;Gràcia;30. la Salut;-1;2012;13212,0;121,0;64,0;57,0;128,0;64,0;64,0;6,0;30,6;28,2;35,1
6;Gràcia;31. la Vila de Gràcia;-1;2012;51147,0;451,0;234,0;217,0;515,0;210,0;305,0;5,3;31,7;24,6;38,4
6;Gràcia;32. el Camp d'en Grassot i Gràcia Nova;-1;2012;34760,0;282,0;143,0;139,0;343,0;145,0;198,0;5,2;32,6;27,6;34,5
7;Horta-Guinardó;33. el Baix Guinardó;-1;2012;25918,0;196,0;114,0;82,0;344,0;146,0;198,0;7,5;38,9;27,5;26,0
7;Horta-Guinardó;34. Can Baró;-1;2012;9005,0;81,0;40,0;41,0;96,0;37,0;59,0;10,5;43,7;25,2;20,6
7;Horta-Guinardó;35. el Guinardó;-1;2012;35664,0;314,0;154,0;160,0;337,0;175,0;162,0;7,1;40,5;28,3;24,1
7;Horta-Guinardó;36. la Font d'en Fargues;-1;2012;9569,0;72,0;32,0;40,0;114,0;48,0;66,0;7,2;38,8;27,8;26,1
7;Horta-Guinardó;37. el Carmel;-1;2012;32012,0;273,0;136,0;137,0;246,0;132,0;114,0;16,3;54,0;20,1;9,5
7;Horta-Guinardó;38. la Teixonera;-1;2012;11776,0;81,0;43,0;38,0;93,0;44,0;49,0;13,5;51,1;22,7;12,6
7;Horta-Guinardó;39. Sant Genís dels Agudells;-1;2012;6985,0;50,0;29,0;21,0;84,0;34,0;50,0;13,5;48,2;22,6;15,6
7;Horta-Guinardó;40. Montbau;-1;2012;5144,0;35,0;22,0;13,0;119,0;49,0;70,0;12,0;43,6;23,8;20,5
7;Horta-Guinardó;41. la Vall d'Hebron;-1;2012;5569,0;37,0;15,0;22,0;51,0;29,0;22,0;8,1;40,2;26,0;25,7
7;Horta-Guinardó;42. la Clota;-1;2012;452,0;2,0;1,0;1,0;6,0;3,0;3,0;13,9;50,8;19,1;16,2
7;Horta-Guinardó;43. Horta;-1;2012;27013,0;213,0;99,0;114,0;292,0;124,0;168,0;11,4;45,2;25,2;18,2
8;Nou Barris;44. Vilapicina i la Torre Llobeta;-1;2012;25540,0;203,0;115,0;88,0;270,0;135,0;135,0;10,0;46,6;25,9;17,6
8;Nou Barris;45. Porta;-1;2012;24222,0;201,0;103,0;98,0;257,0;126,0;131,0;12,9;50,9;23,1;13,2
8;Nou Barris;46. el Turó de la Peira;-1;2012;1,6184e+16;168,0;85,0;83,0;196,0;91,0;105,0;13,2;54,0;21,8;11,0
8;Nou Barris;47. Can Peguera;-1;2012;2239,0;18,0;7,0;11,0;24,0;11,0;13,0;18,6;57,1;18,4;6,0
8;Nou Barris;48. la Guineueta;-1;2012;15185,0;124,0;65,0;59,0;174,0;97,0;77,0;12,4;49,6;24,1;13,9
8;Nou Barris;49. Canyelles;-1;2012;7197,0;46,0;26,0;20,0;61,0;30,0;31,0;15,2;57,4;18,2;9,1
8;Nou Barris;50. les Roquetes;-1;2012;1,6042e+16;161,0;77,0;84,0;129,0;77,0;52,0;18,4;58,9;16,4;6,3
8;Nou Barris;51. Verdun;-1;2012;12453,0;115,0;65,0;50,0;130,0;72,0;58,0;16,4;56,6;18,7;8,2
8;Nou Barris;52. la Prosperitat;-1;2012;26471,0;221,0;117,0;104,0;228,0;124,0;104,0;16,9;53,9;20,4;8,8
8;Nou Barris;53. la Trinitat Nova;-1;2012;7627,0;86,0;49,0;37,0;118,0;61,0;57,0;18,1;61,0;15,5;5,4
8;Nou Barris;54. Torre Baró;-1;2012;2173,0;22,0;10,0;12,0;23,0;13,0;10,0;22,9;62,6;9,5;5,0
8;Nou Barris;55. Ciutat Meridiana;-1;2012;10748,0;109,0;60,0;49,0;57,0;34,0;23,0;14,6;66,4;14,5;4,5
8;Nou Barris;56. Vallbona;-1;2012;1338,0;23,0;9,0;14,0;32,0;13,0;19,0;16,4;61,1;14,6;7,7
9;Sant Andreu;57. la Trinitat Vella;-1;2012;10387,0;127,0;60,0;67,0;51,0;27,0;24,0;14,2;60,9;17,1;7,8
9;Sant Andreu;58. Baró de Viver;-1;2012;2412,0;12,0;6,0;6,0;15,0;7,0;8,0;17,9;62,8;13,9;5,3
9;Sant Andreu;59. el Bon Pastor;-1;2012;13203,0;125,0;60,0;65,0;108,0;60,0;48,0;12,6;57,6;19,2;10,6
9;Sant Andreu;60. Sant Andreu;-1;2012;56297,0;488,0;254,0;234,0;439,0;209,0;230,0;8,1;44,3;27,6;20,0
9;Sant Andreu;61. la Sagrera;-1;2012;29110,0;234,0;130,0;104,0;248,0;113,0;135,0;7,9;46,8;26,6;18,6
9;Sant Andreu;62. el Congrés i els Indians;-1;2012;14129,0;118,0;55,0;63,0;148,0;72,0;76,0;8,6;44,0;27,0;20,4
9;Sant Andreu;63. Navas;-1;2012;21915,0;151,0;70,0;81,0;203,0;100,0;103,0;7,3;44,0;27,5;21,2
10;Sant Martí;64. el Camp de l'Arpa del Clot;-1;2012;38186,0;279,0;146,0;133,0;351,0;166,0;185,0;6,9;41,8;27,0;24,3
10;Sant Martí;65. el Clot;-1;2012;27325,0;217,0;117,0;100,0;201,0;97,0;104,0;7,1;44,4;26,9;21,6
10;Sant Martí;66. el Parc i la Llacuna del Poblenou;-1;2012;14043,0;118,0;60,0;58,0;96,0;41,0;55,0;6,7;38,7;25,9;28,7
10;Sant Martí;67. la Vila Olímpica del Poblenou;-1;2012;9249,0;76,0;43,0;33,0;34,0;20,0;14,0;3,6;20,9;24,1;51,4
10;Sant Martí;68. el Poblenou;-1;2012;32552,0;356,0;176,0;180,0;263,0;129,0;134,0;7,7;40,7;25,0;26,7
10;Sant Martí;69. Diagonal Mar i el Front Marítim del Poblenou;-1;2012;12522,0;211,0;100,0;111,0;75,0;35,0;40,0;6,6;31,5;23,9;38,0
10;Sant Martí;70. el Besòs i el Maresme;-1;2012;23725,0;217,0;89,0;128,0;219,0;111,0;108,0;15,6;59,3;16,8;8,3
10;Sant Martí;71. Provençals del Poblenou;-1;2012;19887,0;202,0;94,0;108,0;169,0;84,0;85,0;9,7;46,5;24,9;18,8
10;Sant Martí;72. Sant Martí de Provençals;-1;2012;26151,0;210,0;106,0;104,0;277,0;145,0;132,0;10,9;49,8;24,2;15,1
10;Sant Martí;73. la Verneda i la Pau;-1;2012;29245,0;231,0;134,0;97,0;310,0;158,0;152,0;14,3;53,5;21,9;10,3
1;Ciutat Vella;1. el Raval;-1;2011;47700,0;477,0;239,0;238,0;333,0;170,0;163,0;9,4;54,7;16,9;19,0
1;Ciutat Vella;2. el Barri Gòtic;-1;2011;17687,0;108,0;50,0;58,0;144,0;64,0;80,0;7,4;40,4;22,0;30,2
1;Ciutat Vella;3. la Barceloneta;-1;2011;15766,0;119,0;52,0;67,0;165,0;83,0;82,0;13,4;48,6;18,2;19,8
1;Ciutat Vella;4. Sant Pere, Santa Caterina i la Ribera;-1;2011;22410,0;213,0;114,0;99,0;188,0;104,0;84,0;8,8;38,2;21,0;31,9
2;Eixample;5. el Fort Pienc;-1;2011;32384,0;245,0;132,0;113,0;283,0;133,0;150,0;6,6;36,5;26,0;30,9
2;Eixample;6. la Sagrada Família;-1;2011;52009,0;412,0;229,0;183,0;534,0;239,0;295,0;7,1;38,3;25,4;29,2
2;Eixample;7. la Dreta de l'Eixample;-1;2011;42910,0;370,0;192,0;178,0;521,0;194,0;327,0;5,0;25,7;25,9;43,3
2;Eixample;8. l'Antiga Esquerra de l'Eixample;-1;2011;41466,0;314,0;172,0;142,0;412,0;181,0;231,0;5,2;28,6;26,4;39,7
2;Eixample;9. la Nova Esquerra de l'Eixample;-1;2011;57706,0;413,0;226,0;187,0;519,0;235,0;284,0;6,1;33,6;26,6;33,7
2;Eixample;10. Sant Antoni;-1;2011;38002,0;293,0;157,0;136,0;378,0;171,0;207,0;7,3;39,2;25,0;28,4
3;Sants-Montjuïc;11. el Poble Sec - AEI Parc Montjuïc;-1;2011;40547,0;400,0;204,0;196,0;346,0;158,0;188,0;9,9;50,6;20,2;19,3
3;Sants-Montjuïc;12. la Marina del Prat Vermell - AEI Zona Franca;-1;2011;1124,0;5,0;1,0;4,0;19,0;8,0;11,0;24,1;64,2;8,8;2,6
3;Sants-Montjuïc;13. la Marina de Port;-1;2011;30243,0;275,0;158,0;117,0;235,0;126,0;109,0;13,2;54,8;21,0;11,1
3;Sants-Montjuïc;14. la Font de la Guatlla;-1;2011;10223,0;71,0;36,0;35,0;102,0;46,0;56,0;9,0;44,1;24,1;22,8
3;Sants-Montjuïc;15. Hostafrancs;-1;2011;15845,0;122,0;61,0;61,0;144,0;75,0;69,0;9,2;46,4;22,4;22,0
3;Sants-Montjuïc;16. la Bordeta;-1;2011;18499,0;170,0;79,0;91,0;183,0;83,0;100,0;9,9;48,9;24,1;17,0
3;Sants-Montjuïc;17. Sants - Badal;-1;2011;24360,0;192,0;114,0;78,0;185,0;93,0;92,0;10,3;48,4;22,5;18,8
3;Sants-Montjuïc;18. Sants;-1;2011;41976,0;340,0;167,0;173,0;389,0;171,0;218,0;8,6;43,8;23,6;24,0
4;Les Corts;19. les Corts;-1;2011;47173,0;373,0;190,0;183,0;431,0;204,0;227,0;6,5;32,2;26,5;34,7
4;Les Corts;20. la Maternitat i Sant Ramon;-1;2011;23622,0;181,0;92,0;89,0;179,0;89,0;90,0;8,0;34,5;25,8;31,7
4;Les Corts;21. Pedralbes;-1;2011;11641,0;79,0;43,0;36,0;88,0;44,0;44,0;4,7;22,1;27,9;45,2
5;Sarrià-Sant Gervasi;22. Vallvidrera, el Tibidabo i les Planes;-1;2011;4299,0;37,0;22,0;15,0;47,0;16,0;31,0;7,5;30,2;25,5;36,8
5;Sarrià-Sant Gervasi;23. Sarrià;-1;2011;23946,0;223,0;118,0;105,0;259,0;103,0;156,0;5,5;23,4;25,2;45,8
5;Sarrià-Sant Gervasi;24. les Tres Torres;-1;2011;15770,0;146,0;74,0;72,0;101,0;51,0;50,0;4,8;19,8;27,9;47,5
5;Sarrià-Sant Gervasi;25. Sant Gervasi - la Bonanova;-1;2011;24330,0;227,0;95,0;132,0;228,0;92,0;136,0;4,7;22,1;28,0;45,0
5;Sarrià-Sant Gervasi;26. Sant Gervasi - Galvany;-1;2011;46217,0;387,0;188,0;199,0;431,0;193,0;238,0;4,6;21,3;28,5;45,6
