Dte.;Barri;2009 Total;2009 Homes;2009 Dones;2010 Total;2010 Homes;2010 Dones;2011 Total;2011 Homes;2011 Dones;2012 Total;2012 Homes;2012 Dones;2013 Total;2013 Homes;2013 Dones;2014 Total;2014 Homes;2014 Dones;2015 Total;2015 Homes;2015 Dones
9;197;75;38;37;80;42;38;89;40;49;87;43;44;99;45;54;86;41;45;73;31;42  
9;198;92;52;40;62;38;24;64;32;32;61;29;32;62;32;30;84;35;49;62;26;36  
9;199;111;54;57;106;55;51;102;43;59;113;54;59;88;39;49;97;46;51;117;51;66  
9;200;85;37;48;79;40;39;88;49;39;90;46;44;75;33;42;89;53;36;92;46;46  
10;201;78;46;32;50;23;27;70;36;34;66;34;32;62;29;33;79;38;41;71;34;37  
10;202;97;48;49;93;53;40;98;46;52;110;54;56;92;42;50;97;46;51;101;45;56  
10;203;92;43;49;85;44;41;86;41;45;86;44;42;87;39;48;94;39;55;88;49;39  
10;204;84;42;42;83;32;51;86;44;42;89;34;55;106;34;72;84;34;50;100;41;59  
10;205;85;43;42;83;35;48;49;20;29;80;42;38;81;41;40;82;43;39;69;30;39  
10;206;72;37;35;65;27;38;70;40;30;74;33;41;70;35;35;66;31;35;87;44;43  
10;207;54;33;21;56;35;21;48;26;22;47;22;25;42;25;17;57;33;24;51;22;29  
10;208;26;17;9;24;15;9;17;8;9;18;10;8;19;7;12;32;17;15;27;17;10  
10;209;80;40;40;88;46;42;85;42;43;78;31;47;102;49;53;122;65;57;83;45;38  
10;210;17;8;9;17;5;12;25;10;15;26;15;11;24;12;12;24;9;15;20;11;9  
10;211;5;3;2;8;5;3;13;9;4;8;5;3;6;2;4;8;4;4;7;4;3  
10;212;40;23;17;40;12;28;38;15;23;34;17;17;32;21;11;34;18;16;43;23;20  
10;213;63;25;38;54;20;34;61;34;27;65;31;34;45;21;24;58;24;34;56;30;26  
10;214;90;34;56;69;29;40;85;35;50;88;34;54;61;34;27;93;39;54;81;35;46  
10;215;96;48;48;96;55;41;116;64;52;76;47;29;88;55;33;96;45;51;113;59;54  
10;216;32;17;15;29;15;14;27;15;12;34;20;14;38;18;20;30;14;16;40;18;22  
10;217;35;15;20;28;14;14;23;12;11;39;13;26;22;7;15;33;13;20;29;8;21  
10;218;3;2;1;5;2;3;5;2;3;2;2;0;2;2;0;4;2;2;4;2;2  
10;219;68;40;28;65;34;31;51;34;17;66;31;35;59;34;25;69;29;40;64;38;26  
10;220;68;33;35;76;36;40;65;30;35;76;42;34;79;38;41;66;35;31;68;40;28  
10;221;21;13;8;16;9;7;10;8;2;14;9;5;12;6;6;28;15;13;20;12;8  
10;222;54;29;25;41;24;17;53;28;25;63;29;34;56;31;25;45;28;17;43;26;17  
10;223;28;12;16;27;14;13;19;6;13;27;15;12;17;12;5;14;9;5;29;17;12  
10;224;48;23;25;47;24;23;47;26;21;71;39;32;69;32;37;49;16;33;74;34;40  
10;225;71;40;31;65;41;24;46;28;18;71;30;41;59;35;24;73;43;30;81;42;39  
10;226;100;53;47;83;44;39;79;40;39;79;49;30;82;43;39;82;43;39;93;50;43  
10;227;75;32;43;57;26;31;63;29;34;65;31;34;51;22;29;57;28;29;67;26;41  
10;228;65;34;31;81;45;36;85;46;39;80;37;43;72;40;32;70;30;40;74;48;26  
10;229;42;26;16;46;20;26;58;24;34;53;28;25;47;22;25;53;28;25;58;34;24  
10;230;55;30;25;45;23;22;49;29;20;66;36;30;52;29;23;51;30;21;54;22;32  
10;231;94;46;48;105;39;66;85;35;50;84;40;44;94;55;39;111;59;52;96;36;60  
10;232;58;38;20;73;36;37;63;27;36;66;33;33;78;45;33;47;22;25;75;46;29  
10;233;64;34;30;77;45;32;59;28;31;94;49;45;76;45;31;76;42;34;96;48;48  
